,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Windspeed (mph),Country,Date
0,Ushuaia,-54.8,-68.3,33.8,95,40,29.97,AR,1595979630
1,Morgan City,29.7,-91.21,86.0,83,75,6.26,US,1595979631
2,Samarai,-10.62,150.67,78.55,87,46,15.82,PG,1595979631
3,Souillac,-20.52,57.52,69.8,88,40,5.82,MU,1595979631
4,Hobyo,5.35,48.53,77.32,81,3,20.54,SO,1595979631
5,Elliot Lake,46.38,-82.63,73.4,56,1,10.29,CA,1595979631
6,Srīvardhan,18.03,73.02,80.76,83,100,1.36,IN,1595979631
7,Hermanus,-34.42,19.23,42.01,94,1,6.2,ZA,1595979631
8,Ponta do Sol,32.67,-17.1,71.6,73,40,10.29,PT,1595979632
9,Punta Arenas,-53.15,-70.92,37.4,79,36,6.93,CL,1595979597
10,Esperance,-33.87,121.9,46.4,100,1,8.05,AU,1595979632
11,Matara,5.95,80.54,77.41,89,100,11.7,LK,1595979632
12,Bredasdorp,-34.53,20.04,46.4,93,0,3.36,ZA,1595979632
13,Palmer,42.16,-72.33,84.0,48,40,9.17,US,1595979632
14,Kruisfontein,-34.0,24.73,55.99,85,28,7.83,ZA,1595979632
15,Barrow,71.29,-156.79,41.0,86,90,23.04,US,1595979629
16,Yangi Marg`ilon,40.43,71.72,80.6,36,60,4.7,UZ,1595979633
17,Moree,-29.47,149.85,55.4,87,75,2.24,AU,1595979633
18,Narsaq,60.92,-46.05,50.0,71,99,4.7,GL,1595979633
19,Rikitea,-23.12,-134.97,72.3,78,80,16.67,PF,1595979633
20,Tuatapere,-46.13,167.68,50.0,76,73,3.0,NZ,1595979633
21,Miranda,3.25,-76.23,82.4,58,40,12.75,CO,1595979633
22,Kati,12.74,-8.07,77.0,94,20,2.24,ML,1595979633
23,Faanui,-16.48,-151.75,79.34,73,100,19.46,PF,1595979634
24,Port Lincoln,-34.73,135.87,57.61,83,21,10.96,AU,1595979634
25,Bluff,-46.6,168.33,50.0,76,83,3.0,NZ,1595979634
26,Tabuk,17.42,121.44,79.68,80,96,1.36,PH,1595979634
