,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Windspeed (mph),Country,Date
0,Buraidah,26.33,43.98,93.2,38,20,3.36,SA,1595894004
1,Dunedin,-45.87,170.5,48.0,76,100,5.01,NZ,1595894514
2,Busselton,-33.65,115.33,48.0,98,8,8.72,AU,1595894515
3,Adrar,20.5,-10.07,95.31,23,30,14.29,MR,1595894515
4,Mogadishu,2.04,45.34,77.41,85,82,22.1,SO,1595894328
5,Taltal,-25.4,-70.48,57.6,72,21,3.0,CL,1595894515
6,Anadyr,64.75,177.48,69.8,64,20,11.18,RU,1595894515
7,Ugoofaaru,5.67,73.0,81.34,79,76,12.28,MV,1595894515
8,Cape Town,-33.93,18.42,57.99,100,0,2.24,ZA,1595894516
9,Lebu,-37.62,-73.65,45.86,73,7,12.97,CL,1595894516
10,Zhanjiang,21.28,110.34,85.12,78,51,8.99,CN,1595894516
11,Castro,-24.79,-50.01,60.12,74,100,3.67,BR,1595894516
12,Turbat,26.0,63.04,84.54,69,16,7.87,PK,1595894516
13,Khatanga,71.97,102.5,50.61,61,0,6.51,RU,1595894516
14,Longyearbyen,78.22,15.64,64.4,55,10,9.17,SJ,1595894414
15,Blagoyevo,63.37,47.92,58.26,87,87,3.02,RU,1595894517
16,Mar del Plata,-38.0,-57.56,44.01,80,40,9.17,AR,1595894517
17,Yeniseysk,58.45,92.17,57.83,75,0,1.01,RU,1595894517
18,Clyde River,70.47,-68.59,41.0,100,90,13.87,CA,1595894517
19,Inhambane,-23.86,35.38,64.17,77,21,10.94,MZ,1595894517
20,Esperance,-33.87,121.9,50.0,100,58,9.17,AU,1595894413
21,Ushuaia,-54.8,-68.3,33.8,80,40,20.8,AR,1595894461
22,Coyhaique,-45.58,-72.07,41.0,60,20,3.36,CL,1595894518
23,Coquimbo,-29.95,-71.34,55.4,82,0,2.24,CL,1595894518
24,Barrow,71.29,-156.79,39.2,80,90,25.28,US,1595894518
25,Chui,-33.7,-53.46,49.35,83,57,6.76,UY,1595894518
26,Te Anau,-45.42,167.72,45.99,75,100,0.31,NZ,1595894519
27,Upernavik,72.79,-56.15,44.55,88,6,4.45,GL,1595894519
28,Jamestown,42.1,-79.24,78.01,88,1,10.29,US,1595894305
29,Silca,14.83,-86.53,73.65,87,94,2.01,HN,1595894519
30,Albany,42.6,-73.97,91.0,51,12,4.0,US,1595894519
31,Luena,-11.78,19.92,50.43,53,0,3.71,AO,1595894519
32,Severnoye,56.35,78.36,51.46,93,1,2.98,RU,1595894519
33,Mataura,-46.19,168.86,43.0,87,100,1.99,NZ,1595894520
34,Quatre Cocos,-20.21,57.76,66.2,88,40,2.24,MU,1595894520
35,Saint-Pierre,-21.34,55.48,69.8,83,99,5.82,RE,1595894520
36,Pacific Grove,36.62,-121.92,73.99,68,1,12.75,US,1595894520
37,Port Augusta,-32.5,137.77,42.01,93,26,5.82,AU,1595894521
38,Ahipara,-35.17,173.17,59.13,68,97,10.54,NZ,1595894521
39,Eydhafushi,5.1,73.07,81.27,79,90,12.28,MV,1595894521
40,Santa Lucía,27.91,-15.54,73.4,73,75,26.4,ES,1595894521
41,Robertsport,6.75,-11.37,76.26,81,89,12.77,LR,1595894521
42,Tuatapere,-46.13,167.68,43.0,87,100,1.99,NZ,1595894522
43,Hilo,19.73,-155.09,84.2,62,75,9.17,US,1595894522
44,Hambantota,6.12,81.12,80.1,79,100,14.61,LK,1595894522
45,Faanui,-16.48,-151.75,78.93,79,100,14.12,PF,1595894522
46,Qaanaaq,77.48,-69.36,45.63,59,63,3.49,GL,1595894522
47,Ribeira Grande,38.52,-28.7,74.16,88,4,4.36,PT,1595894522
48,Thompson,55.74,-97.86,62.6,72,75,12.75,CA,1595894503
49,Xingyi,24.19,102.82,62.56,81,0,1.32,CN,1595894523
50,Puerto Ayora,-0.74,-90.35,71.6,78,40,16.11,EC,1595894523
51,São Filipe,14.9,-24.5,75.76,76,89,6.78,CV,1595894523
52,Puerto Carreño,6.19,-67.49,80.6,74,40,2.86,CO,1595894413
53,Yellowknife,62.46,-114.35,64.99,88,75,14.99,CA,1595894524
54,Sioux Lookout,50.1,-91.92,68.0,68,75,10.29,CA,1595894447
55,Hamilton,39.18,-84.53,82.99,83,40,5.82,US,1595894280
56,Skibbereen,51.55,-9.27,55.4,82,75,8.05,IE,1595894524
57,Hermanus,-34.42,19.23,44.01,91,0,5.84,ZA,1595894524
58,Saskylakh,71.92,114.08,50.49,67,43,13.04,RU,1595894524
59,Melioratorov,57.21,65.61,53.6,93,11,6.71,RU,1595894525
60,Gombong,-7.61,109.51,74.17,84,75,5.1,ID,1595894525
61,Nikolskoye,59.7,30.79,60.01,82,19,6.71,RU,1595894525
62,Geraldton,-28.77,114.6,59.0,100,90,10.29,AU,1595894450
63,Caraballeda,10.61,-66.85,73.0,88,29,3.69,VE,1595894525
64,Touros,-5.2,-35.46,73.4,88,40,4.7,BR,1595894525
65,Leer,8.3,30.14,71.02,95,81,3.74,SS,1595894526
66,Huarmey,-10.07,-78.15,60.67,84,23,8.61,PE,1595894526
67,Margate,51.38,1.39,63.0,90,83,1.99,GB,1595894526
68,Quetta,30.2,67.01,70.93,62,0,1.95,PK,1595894471
69,Kruisfontein,-34.0,24.73,49.1,66,0,5.91,ZA,1595894526
70,Punta Arenas,-53.15,-70.92,35.6,55,40,12.75,CL,1595894341
71,Grand Gaube,-20.01,57.66,66.0,82,2,3.0,MU,1595894526
72,Hithadhoo,-0.6,73.08,81.55,79,100,9.78,MV,1595894441
73,Portland,45.52,-122.68,100.0,19,40,8.05,US,1595894273
74,Severo-Kuril'sk,50.68,156.12,54.41,85,94,16.75,RU,1595894527
75,Bluff,-46.6,168.33,43.0,87,100,1.99,NZ,1595894527
76,Itarema,-2.92,-39.92,77.72,77,10,13.98,BR,1595894528
77,Tolaga Bay,-38.37,178.3,55.76,56,11,2.64,NZ,1595894528
